Date,Bid,Ask,Open,Low,High,Close,Avg,Volume,Transactions
2023-02-09,168.35,168.36,171.13,167.07,173.76,168.35,169.31,"13,597,316","4,475"
2023-02-10,169.90,169.93,168.35,167.90,175.00,169.93,170.99,"31,590,331","6,470"
2023-02-13,172.80,172.90,172.50,170.02,174.99,172.90,173.43,"23,014,648","6,236"
2023-02-14,170.91,170.97,174.05,168.40,174.34,170.97,171.64,"16,408,769","5,264"
2023-02-15,164.01,164.13,171.00,162.55,171.98,164.10,166.75,"14,949,422","5,280"
2023-02-16,164.80,164.97,162.05,162.05,168.66,164.95,165.52,"15,576,244","3,933"
2023-02-17,166.13,166.35,171.92,165.20,174.20,166.13,168.23,"49,314,792","7,760"
2023-02-20,166.31,166.39,166.82,165.60,169.49,166.39,167.19,"11,048,779","4,039"
2023-02-21,168.39,168.67,166.39,165.01,171.85,168.68,167.77,"37,760,052","5,781"
2023-02-22,171.00,171.27,168.19,167.51,185.00,171.27,178.90,"378,953,807","43,415"
2023-02-24,175.31,175.65,173.50,172.50,179.00,174.45,175.19,"67,126,991","10,528"
2023-02-27,177.35,177.70,175.65,174.51,180.00,177.70,177.17,"36,272,084","8,577"
2023-02-28,179.55,179.64,180.00,177.97,182.30,179.46,179.94,"41,268,606","8,427"
2023-03-01,182.40,182.42,181.34,179.11,186.20,182.40,183.64,"130,784,406","17,907"
2023-03-02,182.51,182.76,185.00,177.34,185.97,182.71,183.27,"72,796,081","13,928"
2023-03-03,181.00,181.13,182.70,180.50,184.00,181.00,182.14,"25,569,473","7,101"
2023-03-06,182.91,183.27,184.14,181.50,187.70,183.29,184.56,"57,539,831","12,297"
2023-03-07,189.00,189.03,185.00,182.30,190.77,189.03,187.72,"157,206,124","24,533"
2023-03-09,195.97,196.79,186.41,186.41,203.94,196.69,198.44,"485,077,920","47,775"
2023-03-10,197.70,197.77,190.00,190.00,203.00,197.50,199.35,"188,819,030","22,420"
2023-03-13,196.01,196.10,204.00,191.00,204.00,196.09,197.97,"80,892,267","13,414"
2023-03-14,196.91,196.99,197.00,196.00,199.00,196.99,197.23,"44,677,234","7,845"
2023-03-15,193.29,193.49,197.50,192.50,198.47,193.49,195.37,"35,447,927","8,391"
2023-03-16,192.69,192.85,193.49,190.00,197.00,192.61,193.21,"54,393,304","11,426"
2023-03-17,189.93,190.09,192.00,185.00,196.00,189.87,191.28,"66,427,389","14,053"
2023-03-20,194.00,194.17,190.90,188.70,198.00,194.00,193.21,"72,407,077","11,459"
2023-03-21,193.97,194.22,194.80,191.50,195.60,194.22,193.66,"46,071,612","7,630"
2023-03-22,192.53,192.55,196.15,191.00,196.15,192.52,192.69,"37,315,777","6,126"
2023-03-23,198.05,198.10,193.50,191.98,199.00,197.57,196.51,"82,937,917","11,114"
2023-03-24,196.50,196.80,198.16,195.60,199.50,196.23,197.71,"52,116,966","8,156"
2023-03-27,203.30,203.30,203.30,203.30,203.30,203.30,203.30,"52,116,966","8,156"
